Statistical profiling result from autocannon-fork-scl-v8.log, (20239 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.1%  LazyCompile: *endReadableNT node:internal/streams/readable:1336:23
      5    0.0%    0.1%  LazyCompile: *dispatch /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/route.js:98:45
      5    0.0%    0.1%  LazyCompile: *Readable.read /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_readable.js:392:36
      5    0.0%    0.1%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/socket.io/dist/index.js:262:27
      5    0.0%    0.1%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/engine.io/build/server.js:479:30
      4    0.0%    0.1%  RegExp: ^\/socket\.io/socket\.io(\.msgpack|\.esm)?(\.min)?\.js(\.map)?(?:\?|$)
      4    0.0%    0.1%  RegExp: \[([^]*?)\]
      4    0.0%    0.1%  RegExp: ;\s*charset\s*=
      4    0.0%    0.1%  LazyCompile: *slowCases node:internal/util:165:19
      4    0.0%    0.1%  LazyCompile: *shouldSave /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:440:24
      4    0.0%    0.1%  LazyCompile: *setRequestTimeout node:_http_server:762:27
      4    0.0%    0.1%  LazyCompile: *render /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/view.js:133:40
      4    0.0%    0.1%  LazyCompile: *parse /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/vary/index.js:96:16
      4    0.0%    0.1%  LazyCompile: *onParserExecuteCommon node:_http_server:690:31
      4    0.0%    0.1%  LazyCompile: *get node:internal/streams/readable:1268:8
      4    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      4    0.0%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      4    0.0%    0.1%  LazyCompile: *callback node:internal/streams/writable:550:44
      4    0.0%    0.1%  LazyCompile: *afterWriteTick node:internal/streams/writable:482:24
      4    0.0%    0.1%  LazyCompile: *_handles_method /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/route.js:58:59
      4    0.0%    0.1%  LazyCompile: *Readable.resume node:internal/streams/readable:964:37
      4    0.0%    0.1%  LazyCompile: *<anonymous> node:fs:197:10
      4    0.0%    0.1%  LazyCompile: *<anonymous> file:///home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/src/app.js:41:9
      4    0.0%    0.1%  Function: ^__append :8:20
      3    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      3    0.0%    0.1%  RegExp: @@@
      3    0.0%    0.1%  RegExp: (?:^|[\\/])\.\.(?:[\\/]|$)
      3    0.0%    0.1%  LazyCompile: *write node:buffer:592:12
      3    0.0%    0.1%  LazyCompile: *setHasTickScheduled node:internal/process/task_queues:52:29
      3    0.0%    0.1%  LazyCompile: *sendFile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/send/index.js:716:51
      3    0.0%    0.1%  LazyCompile: *removeListener node:events:557:28
      3    0.0%    0.1%  LazyCompile: *removeAllListeners node:events:617:32
      3    0.0%    0.1%  LazyCompile: *query /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/middleware/query.js:39:24
      3    0.0%    0.1%  LazyCompile: *parserOnMessageComplete node:_http_common:147:33
      3    0.0%    0.1%  LazyCompile: *noop node:internal/util/debuglog:47:14
      3    0.0%    0.1%  LazyCompile: *handle /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/layer.js:86:49
      3    0.0%    0.1%  LazyCompile: *get node:internal/streams/writable:783:8
      3    0.0%    0.1%  LazyCompile: *get node:internal/bootstrap/pre_execution:315:8
      3    0.0%    0.1%  LazyCompile: *fromString node:buffer:431:20
      3    0.0%    0.1%  LazyCompile: *debug /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/node_modules/debug/src/debug.js:65:17
      3    0.0%    0.1%  LazyCompile: *app /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/express.js:38:21
      3    0.0%    0.1%  LazyCompile: *Socket._writeGeneric node:net:769:42
      3    0.0%    0.1%  LazyCompile: *MM /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/fecha/lib/fecha.umd.js:111:20
      3    0.0%    0.1%  LazyCompile: *ContentType /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/content-type/index.js:219:22
      3    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/validators:83:3
      3    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/validators:72:3
      3    0.0%    0.1%  LazyCompile: *<anonymous> node:internal/fs/utils:668:38
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/request.js:467:36
      3    0.0%    0.1%  Function: ^get node:internal/streams/writable:783:8
      3    0.0%    0.1%  Function: ^clearRequestTimeout node:_http_server:774:29
      3    0.0%    0.1%  Function: ^<anonymous> :1:20
      2    0.0%    0.0%  RegExp: ^\/login-error\/?$
      2    0.0%    0.0%  RegExp: ^\/?$
      2    0.0%    0.0%  RegExp: ^[A-Za-z]+:\\|^\/
      2    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.0%  LazyCompile: *wrapmethods /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:394:25
      2    0.0%    0.0%  LazyCompile: *stripSemi /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:362:19
      2    0.0%    0.0%  LazyCompile: *statSync node:fs:1528:18
      2    0.0%    0.0%  LazyCompile: *setWriteHeadHeaders /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/on-headers/index.js:105:30
      2    0.0%    0.0%  LazyCompile: *router /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:46:18
      2    0.0%    0.0%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      2    0.0%    0.0%  LazyCompile: *readableAddChunk /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_readable.js:249:26
      2    0.0%    0.0%  LazyCompile: *processImmediate node:internal/timers:421:28
      2    0.0%    0.0%  LazyCompile: *pad /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/fecha/lib/fecha.umd.js:88:22
      2    0.0%    0.0%  LazyCompile: *onParserExecute node:_http_server:633:25
      2    0.0%    0.0%  LazyCompile: *normalizeParseOptions /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/qs/lib/parse.js:203:59
      2    0.0%    0.0%  LazyCompile: *logger node:internal/util/debuglog:96:18
      2    0.0%    0.0%  LazyCompile: *initialize /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/passport/lib/middleware/initialize.js:51:29
      2    0.0%    0.0%  LazyCompile: *hasbody /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/type-is/index.js:92:18
      2    0.0%    0.0%  LazyCompile: *exports.escapeXML /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/utils.js:94:30
      2    0.0%    0.0%  LazyCompile: *emitReadable_ node:internal/streams/readable:574:23
      2    0.0%    0.0%  LazyCompile: *emitCloseNT node:_http_server:843:21
      2    0.0%    0.0%  LazyCompile: *debug /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/body-parser/node_modules/debug/src/debug.js:65:17
      2    0.0%    0.0%  LazyCompile: *clearIncoming node:_http_server:749:23
      2    0.0%    0.0%  LazyCompile: *append /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/vary/index.js:38:17
      2    0.0%    0.0%  LazyCompile: *addListener node:events:486:58
      2    0.0%    0.0%  LazyCompile: *_transform /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/winston/lib/winston/logger.js:275:13
      2    0.0%    0.0%  LazyCompile: *_flush node:_http_outgoing:933:51
      2    0.0%    0.0%  LazyCompile: *Timeout node:internal/timers:167:17
      2    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      2    0.0%    0.0%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      2    0.0%    0.0%  LazyCompile: *C node:internal/deps/cjs-module-lexer/dist/lexer:1:1152
      2    0.0%    0.0%  LazyCompile: *Accepts /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/accepts/index.js:32:18
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/label.js:11:25
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/router/index.js:635:19
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/index.js:220:28
      2    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:203:34
      2    0.0%    0.0%  Function: ^onResponseHeaders /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/compression/index.js:140:47
      2    0.0%    0.0%  Function: ^normalizeParseOptions /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/qs/lib/parse.js:203:59
      2    0.0%    0.0%  Function: ^jsonParser /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/body-parser/lib/types/json.js:98:30
      2    0.0%    0.0%  Function: ^initialize /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/passport/lib/middleware/initialize.js:51:29
      2    0.0%    0.0%  Function: ^includeFile /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:307:21
      2    0.0%    0.0%  Function: ^get node:internal/bootstrap/pre_execution:327:8
      2    0.0%    0.0%  Function: ^Socket._writeGeneric node:net:769:42
      2    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.0%  RegExp: ^\uFEFF
      1    0.0%    0.0%  RegExp: ^\s*([^\s;]+)\s*(?:;(.*))?$
      1    0.0%    0.0%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      1    0.0%    0.0%  RegExp: ^\/register\/?$
      1    0.0%    0.0%  RegExp: ^\/register-error\/?$
      1    0.0%    0.0%  RegExp: ^\/logout\/?$
      1    0.0%    0.0%  RegExp: ^\/login\/?$
      1    0.0%    0.0%  RegExp: ^\/info\/?$
      1    0.0%    0.0%  RegExp: =+$
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  LazyCompile: *writevGeneric node:internal/stream_base_commons:126:23
      1    0.0%    0.0%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      1    0.0%    0.0%  LazyCompile: *writeHead /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/on-headers/index.js:28:29
      1    0.0%    0.0%  LazyCompile: *validateString node:internal/validators:117:24
      1    0.0%    0.0%  LazyCompile: *transform /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/logform/printf.js:10:12
      1    0.0%    0.0%  LazyCompile: *toJSON /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express-session/session/cookie.js:147:19
      1    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:574:57
      1    0.0%    0.0%  LazyCompile: *randomFillSync node:internal/crypto/random:110:24
      1    0.0%    0.0%  LazyCompile: *path /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/express/lib/request.js:412:40
      1    0.0%    0.0%  LazyCompile: *parseAcceptEncoding /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/negotiator/lib/encoding.js:31:29
      1    0.0%    0.0%  LazyCompile: *ondata /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/readable-stream/lib/_stream_readable.js:679:18
      1    0.0%    0.0%  LazyCompile: *module.exports /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/utils-merge/index.js:16:36
      1    0.0%    0.0%  LazyCompile: *hasObserver node:internal/perf/observe:474:21
      1    0.0%    0.0%  LazyCompile: *handleCache /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:208:21
