Statistical profiling result from fork-ccl-v8.log, (2357 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      1    1.6%        Function: ~<anonymous> node:zlib:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1    1.6%        Function: ~<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/stack-trace/lib/stack-trace.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    1.6%        Function: ~<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/body-parser/node_modules/debug/src/node.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    1.6%        Function: ^stripSemi /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:362:19
      1  100.0%          LazyCompile: *scanLine /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:803:22
      1  100.0%            LazyCompile: *<anonymous> /home/sereprec/Escritorio/CoderHouse/Backend/Clase32/desafio16-PrellezoSergio/node_modules/ejs/lib/ejs.js:730:32
      1    1.6%        Function: ^stat node:internal/modules/cjs/loader:151:14
      1  100.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    1.6%        Function: ^splitRoot node:fs:2362:33
      1  100.0%          LazyCompile: *realpathSync node:fs:2408:22
      1  100.0%            Function: ^toRealPath node:internal/modules/cjs/loader:393:20
